RunLength,Color,CodeWord
64,White,11011
64,Black,0000001111
128,White,10010
128,Black,000011001000
192,White,010111
192,Black,000011001001
256,White,0110111
256,Black,000001011011
320,White,00110110
320,Black,000000110011
384,White,00110111
384,Black,000000110100
448,White,01100100
448,Black,000000110101
512,White,01100101
512,Black,0000001101100
576,White,01101000
576,Black,0000001101101
640,White,01100111
640,Black,0000001001010
704,White,011001100
704,Black,0000001001011
768,White,011001101
768,Black,0000001001100
832,White,011010010
832,Black,0000001001101
896,White,011010011
896,Black,0000001110010
960,White,011010100
960,Black,0000001110011
1024,White,011010101
1024,Black,0000001110100
1088,White,011010110
1088,Black,0000001110101
1152,White,011010111
1152,Black,0000001110110
1216,White,011011000
1216,Black,0000001110111
1280,White,011011001
1280,Black,0000001010010
1344,White,011011010
1344,Black,0000001010011
1408,White,011011011
1408,Black,0000001010100
1472,White,010011000
1472,Black,0000001010101
1536,White,010011001
1536,Black,0000001011010
1600,White,010011010
1600,Black,0000001011011
1664,White,011000
1664,Black,0000001100100
1728,White,010011011
1728,Black,0000001100101
